x	y	z	score	incomprehensibleMarkings	offensiveMarkings
men	McDonalds	cheap with a toy on the side	[1,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5]	0	1
women	coffee	black, bitter and preferably fair trade	[1,2,2,3,3,3,3,3,4,4,4,4,4,5,5]	0	1
home	evenings	filled with loneliness and depressing memories	[1,1,1,1,1,1,2,2,2,3,3,4,4,4,4]	0	1
women	dendrites	ready to receive my transmission	[1,1,1,1,1,1,1,1,2,2,4,4,4,4,5,5,5,5,5,5]	1	0
boyfriends	adventure movies	a little rough with a happy ending	[1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5]	0	0
coffee	features	plastic	[1,1,1,1,1,1,1,1,1,2,2,3]	1	0
ex	rubber	wide	[1,1,1,1,2,2,3,3,3,3,3,4]	1	0
entendres	penetrations	doubled	[1,2,2,2,3,3,3,3,4,4,4,5,5,5]	1	0
men	pair	innocent	[1,1,1,1,1,1,1,1,1,1,1,1,2,2]	1	0
men	books	bound in leather	[1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5]	0	0
coffee	slaves	free	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5]	0	0
people	space stations	made in Russia	[1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5]	1	0
ships	polar bears	breaking the ice	[null]	0	0
big butts	Abraham Lincoln	I cannot lie	[1,2,2,3,3,3,3,3,3,3,4,4,5]	1	0
lover	soap	meant to be wet	[1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5]	0	0
mother	knife	blunt on the back side	[1,1,1,2,2,2,2,2,2,2,3,4,5]	1	0
Unix	churches	without d(a)emons	[1,1,1,1,2,2,2,2,2,3,3,3,3,4,5]	1	0
Japanese tourists	money	put away abroad	[2,2,3,3,3,3,4,4,5,5,5,5]	0	0
men	coffee	I fucking hate coffee	[1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
men	bread	white and a little toasted	[1,2,2,2,2,3,3,3,4,4,4,5]	1	0
men	waves	beating	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4]	1	0
ex	gas stations	exploding	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4]	0	0
