women   67
men 32
coffee  28
sex 20
partners    10
people  8
ex  4
lovers  3
boyfriends  3
mother  3
tea 3
jokes   3
liquor  3
girlfriends 3
hands   2
brother 2
heart   2
cat 2
relationships   2
friends 2
girlfriend  2
body    2
dad 2
girls   2
love    1
X   1
boom boxes  1
hair    1
sodomy  1
Doctors 1
phone   1
zip zop 1
hair salonz 1
soil    1
dog 1
phones  1
martini 1
­   1
boys    1
sonic OC    1
dogs    1
pizza   1
massages    1
hardware    1
spiders 1
drinks  1
politicians 1
brothers    1
stamps  1
educational videos  1
porn    1
money problems  1
campfires   1
holocaust   1
state   1
'I like my X, like I like my Y'-jokes   1
eggs    1
pornographic videos 1
humping 1
steak fries 1
a cold one  1
encounters with men 1
president   1
mothers 1
celery  1
I   1
abortions   1
enemies 1
products    1
mouse   1
chess climaxes  1
ice 1
tea bags    1
airline food    1
entendres   1
prostate exams  1
new year    1
chickens    1
infomercials shows  1
teeth   1
ale 1
quests  1
nipples 1
Chinese people  1
internet connections    1
terrorist attacks   1
Algorithms  1
eyebrows    1
quiches 1
nuclear waste   1
civil liberties 1
Japanese tourists   1
time    1
ass 1
fantasy 1
nursing aids    1
climate 1
Jews    1
trees   1
bananas 1
father  1
salmon  1
oatmeal 1
jokejudger filters  1
tv-shows    1
baristas    1
fingers 1
security    1
old people  1
coffee beans    1
Unix    1
base of my house    1
fleshlight  1
semen   1
coffee order    1
orgasms 1
left    1
US president    1
baseball    1
football matches    1
colleagues  1
papers  1
lips    1
US Presidents   1
bass    1
sex daily   1
company 1
parties 1
vases   1
beer    1
fruit   1
sexual partners 1
compliments 1
liver   1
watch   1
big butts   1
shoes   1
condoms 1
peanut butter   1
lives   1
weapons 1
showers 1
penis   1
logic   1
bologna 1
Sir Mix A Lot   1
dick    1
